id,time,actor,kind,x_m,y_m,fatalities,injuries,population_alive_after,description
V2E001,90.0,Blood,visible windup,-2.2088023688951393,44.52432308637402,0,0,163,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E002,90.0,Witch,Witch ignored appeal,-15.556599900140176,36.37393621055349,0,0,163,A nearby villager calls to the Witch; she keeps walking without helping or explaining.
V2E003,92.0,Bone,deliberate object strike,-33.199999999999996,8.5,0,0,163,An exact intended hit on adjacent board/ground. The apparent near-miss deliberately leaves the person alive.
V2E004,93.5,Blood,blood strike,-2.2088023688951393,44.52432308637402,0,0,163,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E005,93.92,Civilian,bell,23.5,86.1,0,0,163,"Caretaker starts repeated ordinary bell pulls after reaching the ground-floor rope, continuing until interrupted or leaving the rope. Signal means PUBLIC EMERGENCY only."
V2E006,95.631754,Bone,observation / stalking,-43.97084452843231,17.20380027586915,0,0,163,"Bone watches, follows the visible movement or loses the original angle; no off-screen hit is assumed."
V2E007,98.544661,Barrier,reactive contact,73.38038937326822,60.0,1,0,162,The leading villager physically tests the opaque boundary on a locally chosen escape attempt. The boundary reacts only at that contact.
V2E008,100.5,Blood,visible windup,-2.2088023688951393,44.52432308637402,0,0,162,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E009,103.380728,Bone,deliberate object strike,-33.199999999999996,8.5,0,0,162,An exact intended hit on adjacent board/ground. The apparent near-miss deliberately leaves the person alive.
V2E010,104.0,Blood,blood strike,-2.2088023688951393,44.52432308637402,4,0,158,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E011,109.804942,Barrier,reactive contact,60.66840055135362,-38.0,1,0,157,The leading villager physically tests the opaque boundary on a locally chosen escape attempt. The boundary reacts only at that contact.
V2E012,109.962253,Barrier,reactive contact,-79.72578611867121,70.31556044675717,1,0,156,The leading villager physically tests the opaque boundary on a locally chosen escape attempt. The boundary reacts only at that contact.
V2E013,110.856833,Barrier,reactive contact,-70.45661679602753,-48.0,1,0,155,The leading villager physically tests the opaque boundary on a locally chosen escape attempt. The boundary reacts only at that contact.
V2E014,111.0,Blood,visible windup,-2.2088023688951393,44.52432308637402,0,0,155,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E015,114.5,Blood,blood strike,-2.2088023688951393,44.52432308637402,0,14,155,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E016,115.0,Bone,precise attack,-34.3,9.2,1,0,154,"Bone concludes this attention encounter with a deliberate precise hit, not a systematic clearance."
V2E017,121.5,Blood,visible windup,-2.2088023688951393,44.52432308637402,0,0,154,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E018,125.0,Blood,blood strike,-2.2088023688951393,44.52432308637402,14,0,140,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E019,128.619175,Bone,deliberate object strike,-24.113804467641327,13.888641008453332,0,0,140,An exact intended hit on adjacent board/ground. The apparent near-miss deliberately leaves the person alive.
V2E020,132.0,Blood,visible windup,-2.2088023688951393,44.52432308637402,0,0,140,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
V2E021,132.0,Witch,Witch ignored appeal,26.467169073995652,53.18772670104594,0,0,140,A nearby villager calls to the Witch; she keeps walking without helping or explaining.
V2E022,132.0,Witch,Witch ignored appeal,26.467169073995652,53.18772670104594,0,0,140,A nearby villager calls to the Witch; she keeps walking without helping or explaining.
V2E023,135.5,Blood,blood strike,-2.2088023688951393,44.52432308637402,8,0,132,One deliberate pressure surge follows the selected physical concentration. Existing nearby blood is available for reuse; the force envelope is a planning requirement.
V2E024,141.558459,Bone,observation / stalking,-13.283416135315603,29.93757738884499,0,0,132,"Bone watches, follows the visible movement or loses the original angle; no off-screen hit is assumed."
V2E025,142.5,Blood,visible windup,-2.2088023688951393,44.52432308637402,0,0,132,Blood gathers accessible environmental blood and turns toward a locally perceived concentration.
