time,state,accessible_units,carried_units,control_m,sense_m,range_m,width_m,pressure,emotion_multiplier
90.0,Fed,6.416,0.0,43.99354527028255,36.1928997973108,18.69693400338421,10.79741810811302,1.869612716216953,1.0
91.91999999999999,Fed,6.46208,2.304,44.065150101101395,36.27166511121153,18.730946298023163,10.826060040440558,1.8739090060660835,1.0
92.0,Fed,6.464,2.4,44.06812965951134,36.27494262546247,18.732361588267885,10.827251863804536,1.8740877795706803,1.0
92.40379027537165,Fed,6.47369,2.88455,44.08316376888532,36.291480145773846,18.739502790220527,10.833265507554128,1.874989826133119,1.0
93.23191719668671,Fed,6.49357,3.8783,44.11397166870901,36.325368835579916,18.754136542636783,10.845588667483606,1.8768383001225408,1.0
93.28250851620346,Fed,6.49478,3.93901,44.1158526598929,36.327437925882194,18.75503001344913,10.84634106395716,1.876951159593574,1.0
93.31284219984323,Fed,6.49551,3.97541,44.11698040895887,36.32867844985475,18.75556569425546,10.846792163583546,1.8770188245375317,1.0
93.5,Fed,6.5,4.2,44.12393757367551,36.33633133104307,18.75887034749587,10.849575029470206,1.8774362544205307,1.0
93.55641973687514,Fed,6.50135,4.2677,44.12603450827847,36.33863795910632,18.759866391432276,10.850413803311389,1.8775620704967082,1.0
93.91999999999999,Fed,6.51008,4.704,44.139543798483466,36.35349817833182,18.766283304279646,10.855817519393387,1.878372627909008,1.0
94.0,Fed,6.512,4.8,44.14251542198889,36.356766964187784,18.767694825444725,10.857006168795557,1.8785509253193333,1.0
94.57539757366406,Fed,6.52581,5.49048,44.16387939780054,36.38026733758059,18.777842713955256,10.865551759120216,1.8798327638680323,1.0
94.71944865399095,Fed,6.52927,5.66334,44.16922531538711,36.38614784692582,18.78038202480888,10.867690126154844,1.8801535189232266,1.0
95.63175360702274,Fed,6.55116,6.55116,44.203058272021416,36.42336409922356,18.796452679210173,10.881223308808567,1.882183496321285,1.0
97.00655476328204,Fed,6.58416,6.58416,44.25396528991961,36.47936181891157,18.820633512711815,10.901586115967845,1.8852379173951768,1.0
97.36945416033636,Fed,6.59287,6.59287,44.26738740142954,36.494126141572494,18.82700901567903,10.906954960571815,1.886043244085772,1.0
97.56366006947704,Fed,6.59753,6.59753,44.2745675880897,36.50202434689868,18.83041960434261,10.909827035235882,1.8864740552853823,1.0
97.94104392065013,Fed,6.60659,6.60659,44.28851491940908,36.51736641135,18.837044586719315,10.915405967763634,1.887310895164545,1.0
